SL,Email
1,support@e.webasroy.com
2,name@domain.com
3,name@domain.com
4,mail@yourdomain.com
5,name@domain.com
6,name@domain.com
7,name@domain.com
8,name@domain.com
9,name@domain.com
10,mail@yourdomain.com
11,name@domain.com
12,name@domain.com
13,mail@yourdomain.com
14,name@domain.com
15,mail@yourdomain.com
16,name@domain.com
17,mail@yourdomain.com
18,name@domain.com
19,mail@yourdomain.com
20,email@yourbrand.com
21,sales@mybrand.com
22,demo@eelite.onlyfordemo.com
23,preview@demoenterpriseemail.com.onlyfordemo.com
24,compliance@domain-inc.net
